No,Facility_nm,Location_nm,Facility_Type,OffDay,DayOpenTIme,DayEndTime,EndOpenTime,EndEndTime,Cost,Capacity,Size,Internal_Info,Regi_Method,Image,Loc_Address,Loc_New_Address,POC_nm,POC_num,Lat,Lng,UpdateDate,Supplier_code,Supplier_nm,address1,address2,jibun_address,road_address
1,삼청테니스장,삼청테니스장,테니스장,법정공휴일,0:00,0:00,7:00,18:00,Y,16,1,,유선+방문,,서울특별시 종로구 삼청로156,,종로구시설관리공단,02-732-9392,37.58887581,126.9828081,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 삼청동 산 2-1,서울특별시 종로구 삼청로 156
2,올림픽기념국민생활관,올림픽기념국민생활관,체육관,법정공휴일,7:00,21:00,10:00,17:00,Y,100,1152,,유선+방문,,서울특별시 종로구 성균관로91,,종로구시설관리공단,02-745-6701,37.5904592,126.9987998,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 혜화동 1-21,서울특별시 종로구 성균관로 91
3,올림픽기념국민생활관,올림픽기념국민생활관,체육관,법정공휴일,7:00,21:00,10:00,17:00,Y,30,288,,유선+방문,,서울특별시 종로구 성균관로91,,종로구시설관리공단,02-745-6701,37.5904592,126.9987998,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 혜화동 1-21,서울특별시 종로구 성균관로 91
4,종로문화체육센터,종로문화체육센터,체육관,법정공휴일,7:00,21:00,9:00,17:00,Y,100,734,,유선+방문,,서울특별시 종로구 인왕산로1길 21,,종로구시설관리공단,02-732-9392,37.57421081,126.964648,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 사직동 284-1,서울특별시 종로구 인왕산로1길 21
5,종로문화체육센터,종로문화체육센터,체육관,법정공휴일,7:00,21:00,9:00,17:00,Y,30,193,,유선+방문,,서울특별시 종로구 인왕산로1길 21,,종로구시설관리공단,02-732-9392,37.57421081,126.964648,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 사직동 284-1,서울특별시 종로구 인왕산로1길 21
6,삼청테니스장,삼청테니스장,테니스장,법정공휴일,7:00,21:00,0:00,0:00,Y,4,1,,유선+방문,,서울특별시 종로구 삼청로156,,종로구시설관리공단,02-732-9392,37.58887581,126.9828081,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 삼청동 산 2-1,서울특별시 종로구 삼청로 156
7,삼청테니스장,삼청테니스장,테니스장,법정공휴일,0:00,0:00,7:00,18:00,Y,4,1,,유선+방문,,서울특별시 종로구 삼청로156,,종로구시설관리공단,02-732-9392,37.58887581,126.9828081,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 삼청동 산 2-1,서울특별시 종로구 삼청로 156
8,삼청테니스장,삼청테니스장,테니스장,법정공휴일,7:00,21:00,0:00,0:00,Y,16,1,,유선+방문,,서울특별시 종로구 삼청로156,,종로구시설관리공단,02-732-9392,37.58887581,126.9828081,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 삼청동 산 2-1,서울특별시 종로구 삼청로 156
9,삼청테니스장,삼청테니스장,테니스장,법정공휴일,0:00,0:00,7:00,18:00,Y,16,1,,유선+방문,,서울특별시 종로구 삼청로156,,종로구시설관리공단,02-732-9392,37.58887581,126.9828081,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 삼청동 산 2-1,서울특별시 종로구 삼청로 156
10,올림픽기념국민생활관,올림픽기념국민생활관,체육관,법정공휴일,7:00,21:00,10:00,17:00,Y,100,1152,,유선+방문,,서울특별시 종로구 성균관로91,,종로구시설관리공단,02-745-6701,37.5904592,126.9987998,2021-03-23,3000000,서울특별시 종로구,서울특별시,종로구,서울특별시 종로구 혜화동 1-21,서울특별시 종로구 성균관로 91
